SongID,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,YouTube URL
0,3nqQXoyQOWXiESFLlDF1hG,Sam Smith;Kim Petras,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),100,156943,False,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,4,dance,https://www.youtube.com/watch?v=Uq9gPaIzbe8&pp=ygVDU2FtIFNtaXRoO0tpbSBQZXRyYXMgVW5ob2x5IChmZWF0LiBLaW0gUGV0cmFzKSBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
1,2tTmW7RDtMQtBk7m2rYeSw,Bizarrap;Quevedo,"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",99,198937,False,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,4,hip-hop,https://www.youtube.com/watch?v=A_g3lMcWVy0&pp=ygVLQml6YXJyYXA7UXVldmVkbyBRdWV2ZWRvOiBCenJwIE11c2ljIFNlc3Npb25zLCBWb2wuIDUyIG9mZmljaWFsIG11c2ljIHZpZGVv
2,4uUG5RXrOk84mYEfFvj3cK,David Guetta;Bebe Rexha,I'm Good (Blue),I'm Good (Blue),98,175238,True,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4,pop,https://www.youtube.com/watch?v=90RLzVUuXe4&pp=ygU8RGF2aWQgR3VldHRhO0JlYmUgUmV4aGEgSSdtIEdvb2QgKEJsdWUpIG9mZmljaWFsIG11c2ljIHZpZGVv
3,5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,La Bachata,98,162637,False,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,4,reggaeton,https://www.youtube.com/watch?v=A7m8lQOMz1A&pp=ygUtTWFudWVsIFR1cml6byBMYSBCYWNoYXRhIG9mZmljaWFsIG11c2ljIHZpZGVv
4,1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,97,243716,False,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,4,reggae,https://www.youtube.com/watch?v=Cr8K88UcO0s&pp=ygUxQmFkIEJ1bm55IFRpdMOtIE1lIFByZWd1bnTDsyBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
5,6Sq7ltF9Qa7SNFBsV5Cogx,Bad Bunny;Chencho Corleone,Un Verano Sin Ti,Me Porto Bonito,97,178567,True,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,92.005,4,latin,https://www.youtube.com/watch?v=saGYMhApaH8&pp=ygU_QmFkIEJ1bm55O0NoZW5jaG8gQ29ybGVvbmUgTWUgUG9ydG8gQm9uaXRvIG9mZmljaWFsIG11c2ljIHZpZGVv
6,5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Un Verano Sin Ti,Efecto,96,213061,False,0.801,0.475,7,-8.797,0,0.0516,0.141,1.73e-05,0.0639,0.234,98.047,4,latin,https://www.youtube.com/watch?v=IxM-Repiyng&pp=ygUlQmFkIEJ1bm55IEVmZWN0byBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
7,5IgjP7X4th6nMNDh4akUHb,Chris Brown,Indigo (Extended),Under The Influence,96,184613,True,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,4,dance,https://www.youtube.com/watch?v=pfxyk1glEq4&pp=ygU0Q2hyaXMgQnJvd24gVW5kZXIgVGhlIEluZmx1ZW5jZSBvZmZpY2lhbCBtdXNpYyB2aWRlbw%3D%3D
8,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",I Ain't Worried,96,148485,False,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4,piano,https://www.youtube.com/watch?v=mNEUkkoUoIA&pp=ygUwT25lUmVwdWJsaWMgSSBBaW4ndCBXb3JyaWVkIG9mZmljaWFsIG11c2ljIHZpZGVv
9,3k3NWokhRRkEPhCzPmV8TW,Bad Bunny;Bomba Estéreo,Un Verano Sin Ti,Ojitos Lindos,95,258298,False,0.647,0.686,3,-5.745,0,0.0413,0.08,1.34e-06,0.528,0.268,79.928,4,latin,https://www.youtube.com/watch?v=wAjHQXrIj9o&pp=ygU7QmFkIEJ1bm55O0JvbWJhIEVzdMOpcmVvIE9qaXRvcyBMaW5kb3Mgb2ZmaWNpYWwgbXVzaWMgdmlkZW8%3D
